TRT2000,FIRST_FIPS,FIRST_STFI,FIRST_TRAC,Xcord,Ycord
010100,06075,06075010100,101,-122.41151,37.80721
010200,06075,06075010200,102,-122.42150,37.80415
010300,06075,06075010300,103,-122.41557,37.80179
010400,06075,06075010400,104,-122.40740,37.80238
010500,06075,06075010500,105,-122.39835,37.79902
010600,06075,06075010600,106,-122.40630,37.79951
010700,06075,06075010700,107,-122.40985,37.79861
010800,06075,06075010800,108,-122.41419,37.79660
010900,06075,06075010900,109,-122.42043,37.79817
011000,06075,06075011000,110,-122.41967,37.79449
011100,06075,06075011100,111,-122.41892,37.79087
011200,06075,06075011200,112,-122.41269,37.79300
011300,06075,06075011300,113,-122.40924,37.79471
011400,06075,06075011400,114,-122.40650,37.79562
011500,06075,06075011500,115,-122.40264,37.79565
011700,06075,06075011700,117,-122.40340,37.79045
011800,06075,06075011800,118,-122.40604,37.79337
011900,06075,06075011900,119,-122.41133,37.79085
012000,06075,06075012000,120,-122.41841,37.78810
012100,06075,06075012100,121,-122.41178,37.78893
012200,06075,06075012200,122,-122.41790,37.78574
012300,06075,06075012300,123,-122.41133,37.78656
012400,06075,06075012400,124,-122.41723,37.78077
012500,06075,06075012500,125,-122.41140,37.78331
012600,06075,06075012600,126,-122.43451,37.80506
012700,06075,06075012700,127,-122.44517,37.80314
012800,06075,06075012800,128,-122.44170,37.79782
012900,06075,06075012900,129,-122.43030,37.80115
013000,06075,06075013000,130,-122.43034,37.79727
013100,06075,06075013100,131,-122.42612,37.79317
013200,06075,06075013200,132,-122.43870,37.79369
013300,06075,06075013300,133,-122.45247,37.78876
013400,06075,06075013400,134,-122.44074,37.78989
013500,06075,06075013500,135,-122.43243,37.79097
015100,06075,06075015100,151,-122.42330,37.78755
015200,06075,06075015200,152,-122.43019,37.78801
015300,06075,06075015300,153,-122.43920,37.78681
015400,06075,06075015400,154,-122.45102,37.78433
015500,06075,06075015500,155,-122.43380,37.78510
015600,06075,06075015600,156,-122.45626,37.77815
015700,06075,06075015700,157,-122.44776,37.77890
015800,06075,06075015800,158,-122.43754,37.78021
015900,06075,06075015900,159,-122.42922,37.78326
016000,06075,06075016000,160,-122.42241,37.78244
016100,06075,06075016100,161,-122.42852,37.77995
016200,06075,06075016200,162,-122.42275,37.77718
016300,06075,06075016300,163,-122.42941,37.77600
016400,06075,06075016400,164,-122.43676,37.77509
016500,06075,06075016500,165,-122.44754,37.77415
016600,06075,06075016600,166,-122.44726,37.77037
016700,06075,06075016700,167,-122.43757,37.77034
016800,06075,06075016800,168,-122.42685,37.77241
016900,06075,06075016900,169,-122.43223,37.76709
017000,06075,06075017000,170,-122.43937,37.76488
017100,06075,06075017100,171,-122.44811,37.76546
017601,06075,06075017601,176.01,-122.41056,37.77945
017602,06075,06075017602,176.02,-122.39831,37.78912
017700,06075,06075017700,177,-122.41236,37.76801
017800,06075,06075017800,178,-122.40641,37.77783
017901,06075,06075017901,179.01,-122.39200,37.78587
017902,06075,06075017902,179.02,-122.36947,37.81926
018000,06075,06075018000,180,-122.40223,37.77537
020100,06075,06075020100,201,-122.41994,37.76863
020200,06075,06075020200,202,-122.42408,37.76712
020300,06075,06075020300,203,-122.42925,37.76486
020400,06075,06075020400,204,-122.44385,37.75501
020500,06075,06075020500,205,-122.43689,37.75909
020600,06075,06075020600,206,-122.43023,37.75954
020700,06075,06075020700,207,-122.42358,37.75918
020800,06075,06075020800,208,-122.41924,37.75948
020900,06075,06075020900,209,-122.41852,37.75180
021000,06075,06075021000,210,-122.42285,37.75158
021100,06075,06075021100,211,-122.42969,37.75393
021200,06075,06075021200,212,-122.43795,37.75308
021300,06075,06075021300,213,-122.43812,37.74922
021400,06075,06075021400,214,-122.42918,37.74952
021500,06075,06075021500,215,-122.42657,37.74498
021600,06075,06075021600,216,-122.43768,37.74539
021700,06075,06075021700,217,-122.43907,37.74011
021800,06075,06075021800,218,-122.42880,37.73784
022600,06075,06075022600,226,-122.38745,37.75956
022701,06075,06075022701,227.01,-122.40202,37.76031
022702,06075,06075022702,227.02,-122.39577,37.76258
022703,06075,06075022703,227.03,-122.39712,37.75515
022801,06075,06075022801,228.01,-122.41253,37.76076
022802,06075,06075022802,228.02,-122.40625,37.75892
022803,06075,06075022803,228.03,-122.41217,37.75584
022901,06075,06075022901,229.01,-122.41400,37.75119
022902,06075,06075022902,229.02,-122.41044,37.75129
022903,06075,06075022903,229.03,-122.40629,37.75172
023001,06075,06075023001,230.01,-122.40171,37.73520
023002,06075,06075023002,230.02,-122.39217,37.73636
023003,06075,06075023003,230.03,-122.39585,37.73261
023101,06075,06075023101,231.01,-122.38843,37.73754
023102,06075,06075023102,231.02,-122.38458,37.73449
023103,06075,06075023103,231.03,-122.37712,37.73442
023200,06075,06075023200,232,-122.38636,37.72782
023300,06075,06075023300,233,-122.39776,37.72530
023400,06075,06075023400,234,-122.39032,37.72158
025100,06075,06075025100,251,-122.40763,37.74387
025200,06075,06075025200,252,-122.41428,37.74372
025300,06075,06075025300,253,-122.42012,37.74380
025401,06075,06075025401,254.01,-122.42066,37.73762
025402,06075,06075025402,254.02,-122.41289,37.73650
025403,06075,06075025403,254.03,-122.42105,37.73364
025500,06075,06075025500,255,-122.43669,37.72808
025600,06075,06075025600,256,-122.42229,37.72853
025700,06075,06075025700,257,-122.40907,37.72989
025800,06075,06075025800,258,-122.40201,37.72151
025900,06075,06075025900,259,-122.41091,37.72331
026001,06075,06075026001,260.01,-122.43217,37.72340
026002,06075,06075026002,260.02,-122.42628,37.72598
026003,06075,06075026003,260.03,-122.42878,37.71949
026004,06075,06075026004,260.04,-122.43555,37.71772
026100,06075,06075026100,261,-122.44279,37.71941
026200,06075,06075026200,262,-122.45362,37.71116
026301,06075,06075026301,263.01,-122.43947,37.71368
026302,06075,06075026302,263.02,-122.43083,37.71155
026303,06075,06075026303,263.03,-122.44323,37.70958
026401,06075,06075026401,264.01,-122.41120,37.71333
026402,06075,06075026402,264.02,-122.40343,37.71636
026403,06075,06075026403,264.03,-122.40684,37.71109
026404,06075,06075026404,264.04,-122.41535,37.70962
030101,06075,06075030101,301.01,-122.45972,37.76409
030102,06075,06075030102,301.02,-122.45681,37.75821
030201,06075,06075030201,302.01,-122.47372,37.76268
030202,06075,06075030202,302.02,-122.46720,37.76295
030301,06075,06075030301,303.01,-122.46917,37.75682
030302,06075,06075030302,303.02,-122.47157,37.75184
030400,06075,06075030400,304,-122.46744,37.74683
030500,06075,06075030500,305,-122.45243,37.75161
030600,06075,06075030600,306,-122.45703,37.74359
030700,06075,06075030700,307,-122.45009,37.73732
030800,06075,06075030800,308,-122.46762,37.73903
030900,06075,06075030900,309,-122.46806,37.72812
031000,06075,06075031000,310,-122.45703,37.72842
031100,06075,06075031100,311,-122.44621,37.72919
031200,06075,06075031200,312,-122.45499,37.72068
031300,06075,06075031300,313,-122.46712,37.71568
031400,06075,06075031400,314,-122.45684,37.71456
032600,06075,06075032600,326,-122.48176,37.76039
032700,06075,06075032700,327,-122.49114,37.76001
032800,06075,06075032800,328,-122.48087,37.74920
032900,06075,06075032900,329,-122.49029,37.74880
033000,06075,06075033000,330,-122.48446,37.73832
033100,06075,06075033100,331,-122.48679,37.73202
033201,06075,06075033201,332.01,-122.47937,37.72608
033202,06075,06075033202,332.02,-122.47884,37.71739
035100,06075,06075035100,351,-122.49909,37.75748
035201,06075,06075035201,352.01,-122.50687,37.75465
035202,06075,06075035202,352.02,-122.50605,37.76122
035300,06075,06075035300,353,-122.49764,37.74234
035400,06075,06075035400,354,-122.50484,37.74222
040100,06075,06075040100,401,-122.46172,37.78516
040200,06075,06075040200,402,-122.46834,37.78435
042600,06075,06075042600,426,-122.47809,37.78319
042700,06075,06075042700,427,-122.48809,37.78221
042800,06075,06075042800,428,-122.48662,37.78677
045100,06075,06075045100,451,-122.46118,37.77750
045200,06075,06075045200,452,-122.46787,37.77704
047600,06075,06075047600,476,-122.47544,37.77669
047701,06075,06075047701,477.01,-122.48403,37.77816
047702,06075,06075047702,477.02,-122.48374,37.77441
047800,06075,06075047800,478,-122.49387,37.77641
047901,06075,06075047901,479.01,-122.50726,37.77596
